NB_POSTE;DEPARTEMENT;LOCALITE;SIGLE;DENOMINATION COMPLEMENTAIRE;NUMERO ETABLISSEMENT;GROUPEMENT;LATITUDE;LONGITUDE
0;1;OYONNAX;SEGPA;CLG AMPERE;0010806W;Nantua et environs;46.2605435859;5.65344320923
0;1;OYONNAX;SEP;LPO PAUL PAINLEVE;0011281M;Nantua et environs;46.2605435859;5.65344320923
0;1;OYONNAX;SEP;LPO PAUL PAINLEVE;0011281M;Nantua et environs;46.2605435859;5.65344320923
0;1;OYONNAX;SEP;LPO PAUL PAINLEVE;0011281M;Nantua et environs;46.2605435859;5.65344320923
0;1;PERON;CLG;;0011388D;Gex et environs;46.1913554154;5.91968751164
0;1;PERONNAS;CLG;LES COTES;0010938P;Bourg en Bresse et environs;46.1711903413;5.21802169564
0;1;PERONNAS;SEGPA;CLG LES COTES;0010963S;Bourg en Bresse et environs;46.1711903413;5.21802169564
P;1;PONCIN;CLG;ROGER VAILLAND;0010036J;Pont d’Ain et environs;46.089530586;5.41681266947
0;1;PONT D AIN;CLG;LOUISE DE SAVOIE;0010037K;Pont d’Ain et environs;46.0542077091;5.34703652618
0;1;PONT DE VAUX;CLG;ANTOINE CHINTREUIL;0011070H;Bage la ville et environs;46.4422864477;4.92862459427
0;1;PONT DE VEYLE;CLG;GEORGE SAND;0010820L;Bage la ville et environs & Chatillon-sur-Chalaronne;46.2637215091;4.88186068102
0;1;PREVESSIN MOENS;CLG;LE JORAN;0011301J;Gex et environs;46.25827228;6.07223251859
0;1;PREVESSIN MOENS;CLG;LE JORAN;0011301J;Gex et environs;46.25827228;6.07223251859
0;1;REYRIEUX;CLG;JEAN COMPAGNON;0011338Z;Chatillon-sur-Chalaronne;45.9367652442;4.82840395968
0;1;SAINT ANDRE DE CORCY;CLG;DE LA DOMBES;0011257L;Montluel et environs;45.926832;4.950312
0;1;SAINT DENIS LES BOURG;CLG;YVON MORANDAT;0011333U;Bourg en Bresse et environs;46.207832;5.191203
P;1;SAINT GENIS POUILLY;CLG;JACQUES PREVERT;0010975E;Gex et environs;46.254458;6.035038
0;1;SAINT RAMBERT EN BUGEY;CLG;DE L'ALBARINE;0010039M;Amberieu et environs;45.948156;5.438171
0;1;SAINT TRIVIER DE COURTES;CLG;LOUIS VUITTON;0010040N;Bage la ville et environs;46.461088;5.075763
0;1;THOISSEY;CLG;BEL AIR;0010042R;Bage la ville et environs & Chatillon-sur-Chalaronne;46.1700943481;4.79387095814
0;1;TREVOUX;CLG;JEAN MOULIN;0010066S;Chatillon-sur-Chalaronne;45.940671655;4.7714415007
0;1;TREVOUX;LYC;DU VAL DE SAONE;0011276G;Chatillon-sur-Chalaronne;45.940671655;4.7714415007
1;1;VILLARS LES DOMBES;CLG;LEON COMAS;0010939R;Chatillon-sur-Chalaronne;45.9927150222;5.04507856642
0;1;VONNAS;CLG;DU RENON;0010046V;Bourg en Bresse et environs & Chatillon-sur-Chalaronne;46.2168871367;4.99744373712
0;69;AMPLEPUIS;CLG;EUGENIE DE POMEY;0690001B;Thizy et environs;45.9651984924;4.32676291669
0;69;ANSE;CLG;ASA PAULINI;0690002C;Villefranche sur saone et environs;45.9422570443;4.70796670026
0;69;BEAUJEU;CLG;DU VAL D'ARDIERE;690005 F;Beaujeu et environs;46.1564039833;4.58394359167
0;69;BELLEVILLE;CLG;EMILE ZOLA;0690007H;Villefranche sur saone et environs;46.107485;4.741927
0;69;BELLEVILLE;LYC;AIGUERANDE;0693734J;Villefranche sur saone et environs;46.107485;4.741927
0;69;BELLEVILLE;SEGPA;CLG EMILE ZOLA;0694096C;Villefranche sur saone et environs;46.107485;4.741927
0;69;BELLEVILLE;SEP;LPO AIGUERANDE;0693809R;Villefranche sur saone et environs;46.107485;4.741927
0;69;BRIGNAIS;CLG;JEAN ZAY;0692582G;Secteur sud de Lyon;45.678117475;4.75268787981
0;69;BRIGNAIS;LP;GUSTAVE EIFFEL;0690008J;Secteur sud de Lyon;45.678117475;4.75268787981
1;69;BRINDAS;CLG;GEORGES CHARPAK;0693890D;Secteur ouest de Lyon;45.7203432265;4.70291458625
0;69;BRON;CLG;JOLIOT CURIE;0691479H;Secteur est de Lyon;45.7344856902;4.91168159471
0;69;BRON;CLG;PABLO PICASSO;0692576A;Secteur est de Lyon;45.7344856902;4.91168159471
0;69;BRON;CLG;THEODORE MONOD;0693834T;Secteur est de Lyon;45.7344856902;4.91168159471
0;69;BRON;LP;EMILE BEJUIT (AUTOMOBILE);0690105P;Secteur est de Lyon;45.7344856902;4.91168159471
0;69;BRON;LP;TONY GARNIER;0690010L;Secteur est de Lyon;45.7344856902;4.91168159471
0;69;BRON;LYC;JEAN-PAUL SARTRE;0693044J;Secteur est de Lyon;45.7344856902;4.91168159471
0;69;BRON;SEGPA;CLG PABLO PICASSO;0692577B;Secteur est de Lyon;45.7344856902;4.91168159471
0;69;CALUIRE ET CUIRE;CLG;ANDRE LASSAGNE;0691728D;Secteur nord de Lyon;45.7974053648;4.85124857101
0;69;CALUIRE ET CUIRE;CLG;CHARLES SENARD;0692410V;Secteur nord de Lyon;45.7974053648;4.85124857101
0;69;CALUIRE ET CUIRE;CLG;ELIE VIGNAL;0692165D;Secteur nord de Lyon;45.7974053648;4.85124857101
0;69;CALUIRE ET CUIRE;LP;ANDRE CUZIN;0692968B;Secteur nord de Lyon;45.7974053648;4.85124857101
0;69;CALUIRE ET CUIRE;SEGPA;CLG ANDRE LASSAGNE;0691729E;Secteur nord de Lyon;45.7974053648;4.85124857101
1;69;CHAMPAGNE AU MONT D OR;CLG;JEAN-PHILIPPE RAMEAU;0692414Z;Secteur ouest de Lyon;45.7983650854;4.78668207794
0;69;CHAMPAGNE AU MONT D OR;SEGPA;CLG JEAN-PHILIPPE RAMEAU;0691797D;Secteur ouest de Lyon;45.7983650854;4.78668207794
0;69;CHAPONOST;CLG;FRANCOISE DOLTO;0693365H;Secteur ouest de Lyon;45.7088623324;4.74547903701
0;69;CHARBONNIERES LES BAINS;LYC;BLAISE PASCAL;0693518Z;Secteur ouest de Lyon;45.7797061972;4.74328937073
0;69;CHASSIEU;CLG;LEONARD DE VINCI;0691614E;Secteur est de Lyon;45.7376148968;4.96172914286
0;69;CHATILLON SUR AZERGUES;CLG;SIMONE VEIL;0693975W;L’arbresle et environs;45.874265;4.645591
0;69;CHAZAY D AZERGUES;CLG;ALEXIS KANDELAFT;0692448L;L’arbresle et environs;45.8763096867;4.70920946786
0;69;COMMUNAY;CLG;HECTOR BERLIOZ;0693092L;Givors et environs;45.5981602115;4.83863440374
0;69;CONDRIEU;CLG;LE BASSENON;0690015S;Givors et environs;45.4743083818;4.75671075164
0;69;CORBAS;CLG;RENE CASSIN;0692898A;Secteur est de Lyon;45.6680498711;4.90843949215
0;69;COURS LA VILLE;CLG;FRANCOIS BROSSETTE;0690016T;Thizy et environs;46.108895;4.337127
0;69;CRAPONNE;CLG;JEAN ROSTAND;0692422H;Secteur ouest de Lyon;45.7462853462;4.72672357999
0;69;DARDILLY;LYC;FRANCOIS RABELAIS;0693504J;Secteur ouest de Lyon;45.8120018662;4.74663974001
0;69;DARDILLY;SEP;LPO FRANCOIS RABELAIS;0692516K;Secteur ouest de Lyon;45.8120018662;4.74663974001
0;69;DECINES CHARPIEU;CLG;GEORGES BRASSENS;0692157V;Secteur est de Lyon;45.7717277447;4.96142704635
0;69;DECINES CHARPIEU;CLG;GEORGES BRASSENS;0692157V;Secteur est de Lyon;45.7717277447;4.96142704635
0;69;DECINES CHARPIEU;CLG;MARYSE BASTIE;0691495A;Secteur est de Lyon;45.7717277447;4.96142704635
0;69;DECINES CHARPIEU;CLG;MARYSE BASTIE;0691495A;Secteur est de Lyon;45.7717277447;4.96142704635
0;69;DECINES CHARPIEU;LYC;CHARLIE CHAPLIN;0692800U;Secteur est de Lyon;45.7717277447;4.96142704635
0;69;DECINES CHARPIEU;LYC;CHARLIE CHAPLIN;0692800U;Secteur est de Lyon;45.7717277447;4.96142704635
0;69;DECINES CHARPIEU;SEGPA;CLG GEORGES BRASSENS;0692158W;Secteur est de Lyon;45.7717277447;4.96142704635
0;69;DECINES CHARPIEU;SEGPA;CLG GEORGES BRASSENS;0692158W;Secteur est de Lyon;45.7717277447;4.96142704635
0;69;DECINES CHARPIEU;SEP;LPO CHARLIE CHAPLIN;0694095B;Secteur est de Lyon;45.7717277447;4.96142704635
0;69;DECINES CHARPIEU;SEP;LPO CHARLIE CHAPLIN;0694095B;Secteur est de Lyon;45.7717277447;4.96142704635
0;69;ECULLY;CLG;LAURENT MOURGUET;0691481K;Secteur ouest de Lyon;45.7821499466;4.7721681177
0;69;ECULLY;LP;FRANCOIS CEVERT;0693095P;Secteur ouest de Lyon;45.7821499466;4.7721681177
0;69;FEYZIN;CLG;FREDERIC MISTRAL;0692520P;Secteur est de Lyon;45.6730630785;4.85725794932
0;69;FONTAINES SUR SAONE;CLG;JEAN DE TOURNES;0691736M;Secteur nord de Lyon;45.8282811054;4.85664595594
0;69;FRANCHEVILLE;CLG;CHRISTIANE BERNARDIN;0694151M;Secteur ouest de Lyon;45.7378794318;4.75508314041
1;69;GENAS;CLG;LOUIS LEPRINCE RINGUET;0693331W;Secteur est de Lyon;45.7297209932;5.01590344241
0;69;GIVORS;CLG;LUCIE AUBRAC;0691483M;Givors et environs;45.5816626973;4.7572616296
0;69;GIVORS;CLG;PAUL VALLON;0692583H;Givors et environs;45.5816626973;4.7572616296
0;69;GIVORS;LP;DANIELLE CASANOVA;0690018V;Givors et environs;45.5816626973;4.7572616296
1;69;GIVORS;LYC;ARAGON PICASSO;0693330V;Givors et environs;45.5816626973;4.7572616296
0;69;GIVORS;SEGPA;CLG PAUL VALLON;0692702M;Givors et environs;45.5816626973;4.7572616296
0;69;GIVORS;SEP;LPO ARAGON PICASSO;0693200D;Givors et environs;45.5816626973;4.7572616296
0;69;GRIGNY;CLG;EMILE MALFROY;0692419E;Givors et environs;45.6080535265;4.78645083138
0;69;GRIGNY;SEGPA;CLG EMILE MALFROY;0692424K;Givors et environs;45.6080535265;4.78645083138
0;69;IRIGNY;CLG;DAISY GEORGES MARTIN;0691824H;Secteur sud de Lyon;45.6748390924;4.81819594216
0;69;LAMURE SUR AZERGUES;CLG;DE LA HAUTE AZERGUES;0690022Z;Beaujeu et environs;46.0528953737;4.50887540791
0;69;L'ARBRESLE;CLG;LES QUATRE VENTS;0691482L;L’arbresle et environs;45.836277;4.613769
0;69;L'ARBRESLE;LP;BARTHELEMY THIMONNIER;0690003D;L’arbresle et environs;45.836277;4.613769
0;69;L'ARBRESLE;SEGPA;CLG LES QUATRE VENTS;0692701L;L’arbresle et environs;45.836277;4.613769
0;69;LE BOIS D OINGT;CLG;LES PIERRES DOREES;0691674V;L’arbresle et environs;45.931812;4.573321
0;69;LENTILLY;CLG;JACQUES COEUR;0693286X;L’arbresle et environs;45.812542419;4.67106123334
1;69;LIMAS;CLG;MAURICE UTRILLO;692420 F;Villefranche sur saone et environs;45.9720377921;4.71919087739
0;69;LIMAS;SEGPA;CLG MAURICE UTRILLO;0692421G;Villefranche sur saone et environs;45.9720377921;4.71919087739
0;69;LYON 01;CLG;"SITE DE LA ""TOURETTE""";694191 F;Secteur nord de Lyon;45.7699284397;4.82922464978
0;69;LYON 01;LP;DIDEROT;0690048C;Secteur nord de Lyon;45.7699284397;4.82922464978
0;69;LYON 01;LP;JACQUES DE FLESSELLES;0690043X;Secteur nord de Lyon;45.7699284397;4.82922464978
0;69;LYON 01;LYC;LA MARTINIERE DIDEROT;0690037R;Secteur nord de Lyon;45.7699284397;4.82922464978
0;69;LYON 02;CLG;AMPERE;0692693C;Secteur sud de Lyon;45.7492560394;4.82617032549
0;69;LYON 02;CLG;JEAN MONNET;0692334M;Secteur sud de Lyon;45.7492560394;4.82617032549
0;69;LYON 02;LYC;AMPERE;0690023A;Secteur sud de Lyon;45.7492560394;4.82617032549
0;69;LYON 02;LYC;JULIETTE RECAMIER;0690032K;Secteur sud de Lyon;45.7492560394;4.82617032549
0;69;LYON 03;CLG;GILBERT DRU;694007 F;Secteur est de Lyon;45.7533552486;4.86918522013
0;69;LYON 03;CLG;LACASSAGNE;0692695E;Secteur est de Lyon;45.7533552486;4.86918522013
0;69;LYON 03;CLG;MOLIERE;0692411W;Secteur est de Lyon;45.7533552486;4.86918522013
0;69;LYON 03;CLG;PROFESSEUR DARGENT;0690053H;Secteur est de Lyon;45.7533552486;4.86918522013
0;69;LYON 03;CLG;RAOUL DUFY;0690131T;Secteur est de Lyon;45.7533552486;4.86918522013
0;69;LYON 03;LYC;LACASSAGNE;0690029G;Secteur est de Lyon;45.7533552486;4.86918522013
0;69;LYON 03;SEGPA;CLG PROFESSEUR DARGENT;0692864N;Secteur est de Lyon;45.7533552486;4.86918522013
0;69;LYON 04;CLG;ANTOINE DE SAINT-EXUPERY;0692694D;Secteur nord de Lyon;45.7786867581;4.82396112689
0;69;LYON 04;CLG;CLEMENT MAROT;0691662G;Secteur nord de Lyon;45.7786867581;4.82396112689
0;69;LYON 04;LP;CAMILLE CLAUDEL;0690125L;Secteur nord de Lyon;45.7786867581;4.82396112689
0;69;LYON 04;LYC;ANTOINE DE SAINT-EXUPERY;0690031J;Secteur nord de Lyon;45.7786867581;4.82396112689
0;69;LYON 05;CLG;JEAN CHARCOT;0691670R;Secteur ouest de Lyon;45.7558317849;4.8022536949
0;69;LYON 05;CLG;JEAN MOULIN;692696 F;Secteur ouest de Lyon;45.7558317849;4.8022536949
0;69;LYON 05;CLG;LES BATTIERES;0691798E;Secteur ouest de Lyon;45.7558317849;4.8022536949
0;69;LYON 05;LYC;EDOUARD BRANLY;0690128P;Secteur ouest de Lyon;45.7558317849;4.8022536949
0;69;LYON 05;LYC;SAINT JUST;690028 F;Secteur ouest de Lyon;45.7558317849;4.8022536949
0;69;LYON 05;SEGPA;CLG JEAN CHARCOT;0691731G;Secteur ouest de Lyon;45.7558317849;4.8022536949
0;69;LYON 05;SEP;LPO EDOUARD BRANLY;0693909Z;Secteur ouest de Lyon;45.7558317849;4.8022536949
0;69;LYON 06;CLG;BELLECOMBE;0691663H;Secteur nord de Lyon;45.7728507239;4.85207911437
0;69;LYON 06;CLG;VENDOME;0692338S;Secteur nord de Lyon;45.7728507239;4.85207911437
0;69;LYON 06;LYC;DU PARC;0690026D;Secteur nord de Lyon;45.7728507239;4.85207911437
P;69;LYON 06;LYC;EDOUARD HERRIOT;0690027E;Secteur nord de Lyon;45.7728507239;4.85207911437
0;69;LYON 07;CLG;CITE SCOL. INTERNATIONALE;0693479G;Secteur sud de Lyon;45.7334098415;4.83758495703
1;69;LYON 07;CLG;GABRIEL ROSSET;0692578C;Secteur sud de Lyon;45.7334098415;4.83758495703
0;69;LYON 07;CLG;GEORGES CLEMENCEAU;0692339T;Secteur sud de Lyon;45.7334098415;4.83758495703
0;69;LYON 07;LP;LOUISE LABE;0690046A;Secteur sud de Lyon;45.7334098415;4.83758495703
0;69;LYON 07;LYC;CITE SCOL. INTERNATIONALE;0693446W;Secteur sud de Lyon;45.7334098415;4.83758495703
0;69;LYON 07;LYC;HECTOR GUIMARD;0690040U;Secteur sud de Lyon;45.7334098415;4.83758495703
0;69;LYON 07;SEGPA;CLG GEORGES CLEMENCEAU;0692412X;Secteur sud de Lyon;45.7334098415;4.83758495703
0;69;LYON 07;SEP;LPO HECTOR GUIMARD;0693487R;Secteur sud de Lyon;45.7334098415;4.83758495703
0;69;LYON 08;CLG;HENRI LONGCHAMBON;0692340U;Secteur est de Lyon;45.7342034691;4.86935722305
0;69;LYON 08;CLG;JEAN MERMOZ;0690060R;Secteur est de Lyon;45.7342034691;4.86935722305
0;69;LYON 08;CLG;RUE CAZENEUVE;0694295U;Secteur est de Lyon;45.7342034691;4.86935722305
1;69;LYON 08;CLG;VICTOR GRIGNARD;0691669P;Secteur est de Lyon;45.7342034691;4.86935722305
0;69;LYON 08;LP;DU 1ER FILM;0690092A;Secteur est de Lyon;45.7342034691;4.86935722305
0;69;LYON 08;LP;JEAN LURCAT;0690045Z;Secteur est de Lyon;45.7342034691;4.86935722305
0;69;LYON 08;LYC;AUGUSTE ET LOUIS LUMIERE;0690035N;Secteur est de Lyon;45.7342034691;4.86935722305
0;69;LYON 08;LYC;COLBERT;0690042W;Secteur est de Lyon;45.7342034691;4.86935722305
0;69;LYON 08;LYC;LA MARTINIERE MONPLAISIR;0692866R;Secteur est de Lyon;45.7342034691;4.86935722305
0;69;LYON 08;SEGPA;CLG HENRI LONGCHAMBON;0692341V;Secteur est de Lyon;45.7342034691;4.86935722305
0;69;LYON 09;CLG;JEAN DE VERRAZANE;0692703N;Secteur ouest de Lyon;45.7817805887;4.80818327822
1;69;LYON 09;CLG;JEAN PERRIN;0692698H;Secteur ouest de Lyon;45.7817805887;4.80818327822
0;69;LYON 09;CLG;VICTOR SCHOELCHER;0690036P;Secteur ouest de Lyon;45.7817805887;4.80818327822
0;69;LYON 09;LYC;JEAN PERRIN;0690082P;Secteur ouest de Lyon;45.7817805887;4.80818327822
0;69;LYON 09;LYC;LA MARTINIERE  DUCHERE;0690038S;Secteur ouest de Lyon;45.7817805887;4.80818327822
0;69;LYON 09;SEGPA;CLG VICTOR SCHOELCHER;0691672T;Secteur ouest de Lyon;45.7817805887;4.80818327822
0;69;MEYZIEU;CLG;EVARISTE GALOIS;0692335N;Secteur est de Lyon;45.7770899686;5.00632679347
0;69;MEYZIEU;CLG;LES SERVIZIERES;0691668N;Secteur est de Lyon;45.7770899686;5.00632679347
0;69;MEYZIEU;CLG;OLIVIER DE SERRES;0692704P;Secteur est de Lyon;45.7770899686;5.00632679347
0;69;MEYZIEU;SEGPA;CLG EVARISTE GALOIS;0692352G;Secteur est de Lyon;45.7770899686;5.00632679347
0;69;MIONS;CLG;MARTIN LUTTER KING;0692579D;Secteur est de Lyon;45.6647373498;4.94915210897
0;69;MIONS;SEGPA;CLG MARTIN LUTTER KING;0692580E;Secteur est de Lyon;45.6647373498;4.94915210897
0;69;MONSOLS;CLG;MONT SAINT RIGAUD;0690070B;Beaujeu et environs;46.222282;4.517556
0;69;MORNANT;CLG;PIERRE DE RONSARD;0692346A;Givors et environs;45.6159773607;4.67379130422
0;69;MORNANT;CLG;PIERRE DE RONSARD;0692346A;Givors et environs;45.6159773607;4.67379130422
0;69;NEUVILLE SUR SAONE;CLG;JEAN RENOIR;0692423J;Secteur nord de Lyon;45.8829276204;4.84373616973
0;69;NEUVILLE SUR SAONE;LYC;ROSA PARKS;0694026B;Secteur nord de Lyon;45.8829276204;4.84373616973
0;69;NEUVILLE SUR SAONE;SEGPA;CLG JEAN RENOIR;0691780K;Secteur nord de Lyon;45.8829276204;4.84373616973
0;69;OULLINS;CLG;LA CLAVELIERE;0691673U;Secteur sud de Lyon;45.7149665543;4.80299453846
0;69;OULLINS;CLG;PIERRE BROSSOLETTE;0690075G;Secteur sud de Lyon;45.7149665543;4.80299453846
0;69;OULLINS;LP;EDMOND LABBE;0690129R;Secteur sud de Lyon;45.7149665543;4.80299453846
0;69;OULLINS;LP;JOSEPH-MARIE JACQUARD;690281 F;Secteur sud de Lyon;45.7149665543;4.80299453846
0;69;OULLINS;LYC;PARC CHABRIERES;690074 F;Secteur sud de Lyon;45.7149665543;4.80299453846
0;69;OULLINS;SEGPA;CLG PIERRE BROSSOLETTE;0692347B;Secteur sud de Lyon;45.7149665543;4.80299453846
0;69;PIERRE BENITE;CLG;MARCEL PAGNOL;0690076H;Secteur sud de Lyon;45.702202274;4.82705049921
1;69;RILLIEUX LA PAPE;CLG;MARIA CASARES;0691498D;Secteur nord de Lyon;45.8205988109;4.89822639815
1;69;RILLIEUX LA PAPE;CLG;PAUL-EMILE VICTOR;0692159X;Secteur nord de Lyon;45.8205988109;4.89822639815
0;69;RILLIEUX LA PAPE;LP;GEORGES LAMARQUE;0691626T;Secteur nord de Lyon;45.8205988109;4.89822639815
0;69;RILLIEUX LA PAPE;LP;SERMENAZ;0692518M;Secteur nord de Lyon;45.8205988109;4.89822639815
0;69;RILLIEUX LA PAPE;LYC;ALBERT CAMUS;0692517L;Secteur nord de Lyon;45.8205988109;4.89822639815
0;69;RILLIEUX LA PAPE;SEGPA;CLG PAUL-EMILE VICTOR;0692161Z;Secteur nord de Lyon;45.8205988109;4.89822639815
0;69;SAIN BEL;LYC;GERMAINE TILLION;0694069Y;L’arbresle et environs;45.8121205501;4.59925971252
0;69;SAINT FONS;CLG;ALAIN;0692342W;Secteur est de Lyon;45.706129;4.857216
0;69;SAINT FONS;SEGPA;CLG ALAIN;0692413Y;Secteur est de Lyon;45.706129;4.857216
0;69;SAINT GENIS LAVAL;CLG;JEAN GIONO;0692521R;Secteur sud de Lyon;45.694023;4.792342
0;69;SAINT GENIS LAVAL;CLG;PAUL D'AUBAREDE;0693287Y;Secteur sud de Lyon;45.694023;4.792342
0;69;SAINT GENIS LAVAL;LYC;RENE DESCARTES;0693654X;Secteur sud de Lyon;45.694023;4.792342
1;69;SAINT GEORGES DE RENEINS;CLG;BOIS FRANC;0690080M;Villefranche sur saone et environs;46.061446;4.721010
0;69;SAINT GEORGES DE RENEINS;SEGPA;CLG BOIS FRANC;0692798S;Villefranche sur saone et environs;46.061446;4.721010
0;69;SAINT LAURENT DE MURE;CLG;LOUIS LACHENAL;0692865P;Secteur est de Lyon;45.685971;5.045983
